node,betweeness_centrality,node_type
MBP,8.032091104545249e-06,gene/protein
MPZL1,7.885913578256287e-06,gene/protein
CCNK,7.852866461929188e-06,gene/protein
PHF14,7.852866461929188e-06,gene/protein
ELOVL4,7.846454893407375e-06,gene/protein
HSD17B11,7.817751161312359e-06,gene/protein
PRMT1,7.710826437319216e-06,gene/protein
MAT2A,7.675364317461814e-06,gene/protein
EIF2AK3,7.655237942427143e-06,gene/protein
AK2,7.649470519152934e-06,gene/protein
RNF5,7.58966786500329e-06,gene/protein
NR0B2,7.434106936878916e-06,gene/protein
NCF2,7.414147183086192e-06,gene/protein
RMDN3,7.3476483549732566e-06,gene/protein
PPP1R3A,7.245164285315185e-06,gene/protein
PITX3,7.184457541082514e-06,gene/protein
TSC2,7.164133130861236e-06,gene/protein
TFAP2C,7.142596543538361e-06,gene/protein
ATP6V0B,7.062191168232897e-06,gene/protein
AURKB,7.055104036957108e-06,gene/protein
HSPA1A,7.039621891182539e-06,gene/protein
HPX,6.949930135590307e-06,gene/protein
